,日期,天气状况,气温,风力风向
0,2011年01月01日,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
1,2011年01月02日,多云/阴,-2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2,2011年01月03日,晴/晴,1℃/-8℃,北风3-4级/无持续风向≤3级
3,2011年01月04日,晴/晴,-1℃/-11℃,无持续风向≤3级/无持续风向≤3级
4,2011年01月05日,晴/晴,-1℃/-8℃,北风4-5级/北风3-4级
5,2011年01月06日,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
6,2011年01月07日,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
7,2011年01月08日,多云/晴,1℃/-8℃,北风4-5级/北风4-5级
8,2011年01月09日,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
9,2011年01月10日,晴/多云,-1℃/-7℃,无持续风向≤3级/北风3-4级
10,2011年01月11日,晴/晴,-1℃/-11℃,北风3-4级/无持续风向≤3级
11,2011年01月12日,多云/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
12,2011年01月13日,晴/晴,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
13,2011年01月14日,晴/晴,-1℃/-10℃,北风4-5级/北风3-4级
14,2011年01月15日,晴/阴,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
15,2011年01月16日,晴/晴,-1℃/-9℃,无持续风向≤3级/无持续风向≤3级
16,2011年01月17日,晴/晴,-1℃/-9℃,北风3-4级/无持续风向≤3级
17,2011年01月18日,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
18,2011年01月19日,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
19,2011年01月20日,晴/多云,0℃/-7℃,无持续风向≤3级/无持续风向≤3级
20,2011年01月21日,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
21,2011年01月22日,多云/多云,0℃/-9℃,无持续风向≤3级/北风3-4级
22,2011年01月23日,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
23,2011年01月24日,晴/多云,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
24,2011年01月25日,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
25,2011年01月26日,晴/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
26,2011年01月27日,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
27,2011年01月28日,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
28,2011年01月29日,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
29,2011年01月30日,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
30,2011年01月31日,多云/雾,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
31,2011年02月01日,晴/晴,4℃/-8℃,北风3-4级/无持续风向≤3级
32,2011年02月02日,晴/多云,9℃/-4℃,北风4-5级/北风4-5级
33,2011年02月03日,小雪/雾,0℃/-5℃,无持续风向≤3级/北风3-4级
34,2011年02月04日,晴/小雪,2℃/-7℃,北风3-4级/无持续风向≤3级
35,2011年02月05日,晴/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级
36,2011年02月06日,多云/阴,9℃/-1℃,无持续风向≤3级/北风3-4级
37,2011年02月07日,晴/晴,8℃/-4℃,无持续风向≤3级/无持续风向≤3级
38,2011年02月08日,晴/多云,-2℃/-9℃,无持续风向≤3级/无持续风向≤3级
39,2011年02月09日,多云/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
40,2011年02月10日,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
41,2011年02月11日,晴/晴,1℃/-10℃,北风3-4级/无持续风向≤3级
42,2011年02月12日,阴/小雪,-3℃/-6℃,无持续风向≤3级/无持续风向≤3级
43,2011年02月13日,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
44,2011年02月14日,晴/晴,1℃/-7℃,北风4-5级/无持续风向≤3级
45,2011年02月15日,晴/多云,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
46,2011年02月16日,霾/多云,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
47,2011年02月17日,晴/晴,9℃/-2℃,无持续风向≤3级/北风3-4级
48,2011年02月18日,多云/晴,3℃/-8℃,北风3-4级/无持续风向≤3级
49,2011年02月19日,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
50,2011年02月20日,晴/多云,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
51,2011年02月21日,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
52,2011年02月22日,雾/多云,9℃/0℃,无持续风向≤3级/无持续风向≤3级
53,2011年02月23日,多云/晴,9℃/3℃,无持续风向≤3级/无持续风向≤3级
54,2011年02月24日,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
55,2011年02月25日,晴/雨夹雪,7℃/-1℃,无持续风向≤3级/无持续风向≤3级
56,2011年02月26日,小雪/小雪,2℃/-3℃,无持续风向≤3级/无持续风向≤3级
57,2011年02月27日,小雪/阴,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
58,2011年02月28日,晴/晴,6℃/-4℃,无持续风向≤3级/北风3-4级
59,2011年03月01日,多云/晴,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
60,2011年03月02日,晴/晴,6℃/-2℃,无持续风向≤3级/北风3-4级
61,2011年03月03日,晴/晴,9℃/-4℃,北风3-4级/无持续风向≤3级
62,2011年03月04日,晴/多云,11℃/0℃,无持续风向≤3级/无持续风向≤3级
63,2011年03月05日,晴/晴,13℃/1℃,无持续风向≤3级/北风3-4级
64,2011年03月06日,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
65,2011年03月07日,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
66,2011年03月08日,晴/晴,10℃/-1℃,北风3-4级/北风3-4级
67,2011年03月09日,晴/晴,11℃/-1℃,北风3-4级/无持续风向≤3级
68,2011年03月10日,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
69,2011年03月11日,多云/晴,17℃/3℃,无持续风向≤3级/无持续风向≤3级
70,2011年03月12日,晴/阴,19℃/7℃,无持续风向≤3级/无持续风向≤3级
71,2011年03月13日,多云/晴,17℃/3℃,北风4-5级/北风4-5级
72,2011年03月14日,多云/多云,9℃/1℃,北风3-4级/北风3-4级
73,2011年03月15日,晴/晴,9℃/-2℃,北风4-5级/北风3-4级
74,2011年03月16日,晴/晴,13℃/0℃,无持续风向≤3级/无持续风向≤3级
75,2011年03月17日,晴/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级
76,2011年03月18日,多云/晴,14℃/0℃,北风4-5级/北风3-4级
77,2011年03月19日,多云/多云,13℃/3℃,无持续风向≤3级/无持续风向≤3级
78,2011年03月20日,阴/阴,11℃/3℃,无持续风向≤3级/北风4-5级
